timestamp,prompt,handler,success,latency_ms,extra_info
2025-06-26T16:57:30.932224,"""Give me division-wise aging summary""",keyword_router,True,970,{}
2025-06-26T16:57:30.937561,,keyword_router,True,,{}
2025-06-26T16:57:46.099701,Group data by party.,keyword_router,True,806,{}
2025-06-26T16:57:46.101772,,keyword_router,True,,{}
2025-06-26T17:09:39.786184, Show overdue invoices with overdue days > 30,keyword_router,True,1065,{}
2025-06-26T17:09:48.461689,Show AR aging summary totals by bucket,keyword_router,True,637,{}
2025-06-26T17:09:55.672459,: Show top 5 pending invoices (non-zero balance),keyword_router,True,,{}
2025-06-26T17:10:02.846128,Show AR aging summary totals by bucket,keyword_router,True,725,{}
2025-06-26T17:10:27.407653, Show invoices for a specific party_1131571815,keyword_router,True,628,{}
2025-06-26T17:10:38.828189, Show invoices for a specific division (example: div_1742449716),keyword_router,True,2,{}
2025-06-26T17:10:49.254768, Show invoices for a div_1742449716,keyword_router,True,,{}
2025-06-26T18:40:30.119454,Top 10 Receivables with Aging,keyword_router,True,1616,{}
2025-06-26T18:40:30.126151,,keyword_router,True,,{}
2025-06-26T18:40:39.895261,Receivables Above 60 Days Overdue,keyword_router,True,618,{}
2025-06-26T18:40:39.897950,,keyword_router,True,,{}
2025-06-26T18:40:40.539898,,keyword_router,True,,{}
2025-06-26T18:40:49.118301,Division-wise Receivables Summary,keyword_router,True,585,{}
2025-06-26T18:40:49.120832,,keyword_router,True,,{}
2025-06-26T18:40:58.412114,Division-wise Receivables Summary,keyword_router,True,597,{}
2025-06-26T18:40:58.413907,,keyword_router,True,,{}
2025-06-26T18:41:07.208461,Monthly Aging Report of Receivables,keyword_router,True,639,{}
2025-06-26T18:41:07.209714,,keyword_router,True,,{}
2025-06-26T18:41:15.909509,Breakdown of Overdue Amounts by Party,keyword_router,True,578,{}
2025-06-26T18:41:15.910524,,keyword_router,True,,{}
2025-06-26T18:41:16.343581,,keyword_router,True,,{}
2025-06-26T18:41:23.256159,Supplier Aging Report,keyword_router,True,595,{}
2025-06-26T18:41:23.258806,,keyword_router,True,,{}
2025-06-26T18:41:28.793588,Top 10 Suppliers with Overdue Payments,keyword_router,True,549,{}
2025-06-26T18:41:28.795102,,keyword_router,True,,{}
2025-06-26T18:41:55.545722,Aging Summary of Payables Over 90 Days,keyword_router,True,725,{}
2025-06-26T18:41:55.547505,,keyword_router,True,,{}
2025-06-26T18:41:55.548429,,keyword_router,True,,{}
2025-06-26T18:46:20.615076,3. Suppliers with Outstanding Above AED 10K,keyword_router,True,556,{}
2025-06-26T18:50:37.726665,Show aging for party_1184468713,keyword_router,True,1186,{}
2025-06-26T18:50:37.728305,,keyword_router,True,,{}
2025-06-26T18:50:45.188427,Aging details of customer party_0978313416,keyword_router,True,521,{}
2025-06-26T18:50:45.190348,,keyword_router,True,,{}
2025-06-26T18:50:59.315215,Give me a division-wise summary of receivables aging,keyword_router,True,1404,{}
2025-06-26T18:51:10.869206,AR report by division for this month,keyword_router,True,1493,{}
2025-06-26T18:51:10.871775,,keyword_router,True,,{}
2025-06-26T18:51:17.347168,Monthly receivables aging for 2024,keyword_router,True,1251,{}
2025-06-26T18:51:17.349542,,keyword_router,True,,{}
2025-06-26T18:51:24.102778,Show monthly aging summary of AR,keyword_router,True,1268,{}
2025-06-26T18:51:24.106354,,keyword_router,True,,{}
2025-06-26T18:51:30.443640,Show monthly aging summary of AR,keyword_router,True,1435,{}
2025-06-26T18:51:30.448023,,keyword_router,True,,{}
2025-06-26T18:51:36.949188,"List receivables with overdue above 60 days and balance above 100,000",keyword_router,True,1334,{}
2025-06-26T18:51:36.954119,,keyword_router,True,,{}
2025-06-26T18:51:44.427686,Show monthly aging summary of AR,keyword_router,True,1320,{}
2025-06-26T18:51:44.431160,,keyword_router,True,,{}
2025-06-26T18:51:48.443119,Customers with aging over 90 days,keyword_router,True,584,{}
2025-06-26T18:51:48.444309,,keyword_router,True,,{}
2025-06-26T18:51:55.238613,Top 5 customers with receivables,keyword_router,True,537,{}
2025-06-26T18:51:55.239543,,keyword_router,True,,{}
2025-06-26T18:52:01.600978,Top receivables customers with aging details,keyword_router,True,584,{}
2025-06-26T18:52:01.602282,,keyword_router,True,,{}
