doc_type,doc_no,date,original_customer,ac_code,original_division,created_by,created_ts,original_salesman,amount,customer,division,salesman
DO20,2500180,2025-01-26,TAALEEM SPV LIMITED,AR-T0003,MCJ,RINSHAD TK,2025-01-26,RINSHAD T K,50.0,cus_2003689857,div_0556003793,man_2128340233
DO30,2500235,2025-01-29,ACE MAK INTERNATIONAL TRADING LLC,AR-A0444,Sharjah,ZAINUDHEEN,2025-01-29,ZAMEER ,24102.0,cus_1550492988,div_1742449716,man_1964161347
OFDO10,2500013,2025-01-31,NATIONAL PETROLEUM CONSTRUCTION CO.L.L.C,AR-N0010,HO,RIYAS P,2025-01-31,FAROOK,0.0,cus_0054571443,div_2006915470,man_1091962667
DO30,2500256,2025-02-01,ACE MAK INTERNATIONAL TRADING LLC,AR-A0444,Sharjah,ZAINUDHEEN,2025-02-01,ZAMEER ,9981.0,cus_1550492988,div_1742449716,man_1964161347
DO20,2500244,2025-02-03,RAPID SOLUTIONS ENGINEERING LLC,AR-R0010,MCJ,RINSHAD TK,2025-02-03,RINSHAD T K,140.0,cus_0095376771,div_0556003793,man_2128340233
ODO10,2500099,2025-02-04,AL NASIYA GENERAL CONTRACTING L.L.C. CO,AR-A0149,HO,NAVEED,2025-02-04,NEVIN K,150.0,cus_1520944275,div_2006915470,man_0832785071
DO30,2500297,2025-02-06,ARABIAN TOWER BLDG MAT TR L.LC,AR-A0477,Sharjah,ZAINUDHEEN,2025-02-06,RINSHAD M U,1810.0,cus_0505811855,div_1742449716,man_0298694519
DO30,2500314,2025-02-07,WESTERN & MIDDLE EAST TR. LLC,AR-W0020,Sharjah,ZAINUDHEEN,2025-02-07,ZAMEER ,8950.0,cus_1509295529,div_1742449716,man_1964161347
DO30,2500336,2025-02-11,ACE MAK INTERNATIONAL TRADING LLC,AR-A0444,Sharjah,ZAINUDHEEN,2025-02-11,ZAMEER ,3540.0,cus_1550492988,div_1742449716,man_1964161347
DO20,2500297,2025-02-11,TAALEEM SPV LIMITED,AR-T0003,MCJ,SAFEER M,2025-02-11,RINSHAD T K,405.0,cus_2003689857,div_0556003793,man_2128340233
OFDO10,2500025,2025-02-13,NATIONAL PETROLEUM CONSTRUCTION CO.L.L.C,AR-N0010,HO,RIYAS P,2025-02-13,FAROOK,0.01,cus_0054571443,div_2006915470,man_1091962667
DO30,2500368,2025-02-15,SALMA ELECT AND SANITARY TRADING LLC SP,AR-S0086,Sharjah,ZAINUDHEEN,2025-02-15,ZAMEER ,1275.0,cus_0475251597,div_1742449716,man_1964161347
DO20,2500351,2025-02-18,TAALEEM SPV LIMITED,AR-T0003,MCJ,RINSHAD TK,2025-02-18,RINSHAD T K,264.0,cus_2003689857,div_0556003793,man_2128340233
DO30,2500387,2025-02-19,CARMIX GENERAL TRADING LLC,AR-C1018,Sharjah,ZAINUDHEEN,2025-02-19,ZAMEER ,1030.0,cus_1495552964,div_1742449716,man_1964161347
DO20,2500385,2025-02-23,TAALEEM SPV LIMITED,AR-T0003,MCJ,RINSHAD TK,2025-02-23,RINSHAD T K,50.0,cus_2003689857,div_0556003793,man_2128340233
DO20,2500418,2025-02-27,TAALEEM SPV LIMITED,AR-T0003,MCJ,RINSHAD TK,2025-02-27,RINSHAD T K,90.0,cus_2003689857,div_0556003793,man_2128340233
DO20,2500419,2025-02-27,TAALEEM SPV LIMITED,AR-T0003,MCJ,RINSHAD TK,2025-02-27,RINSHAD T K,45.0,cus_2003689857,div_0556003793,man_2128340233
DO30,2500456,2025-02-27,ACE MAK INTERNATIONAL TRADING LLC,AR-A0444,Sharjah,ZAINUDHEEN,2025-02-27,ZAMEER ,6860.0,cus_1550492988,div_1742449716,man_1964161347
DO20,2500425,2025-02-28,TAALEEM MANAGEMENT L.L.C,AR-T0002,MCJ,RINSHAD TK,2025-02-28,RINSHAD T K,730.0,cus_0330439396,div_0556003793,man_2128340233
DO20,2500431,2025-02-28,QALAT AL KHALEEJ GENERAL CON AND MAINTENANCE,AR-Q0001,MCJ,RINSHAD TK,2025-02-28,RINSHAD T K,1180.0,cus_0171186648,div_0556003793,man_2128340233
DO20,2500437,2025-03-01,QUICK ACTION TRADING - L.L.C,AR-Q0011,MCJ,RINSHAD TK,2025-03-01,RINSHAD T K,2360.0,cus_1044956353,div_0556003793,man_2128340233
DO10,2500149,2025-03-01,GULF ERECTION CO.L.L.C,AR-G0033,HO,FAISAL,2025-03-01,FAISAL,2100.5,cus_1500219345,div_2006915470,man_1993412060
DO10,2500150,2025-03-01,GULF ERECTION CO.L.L.C,AR-G0033,HO,SUNDARAN,2025-03-01,FAISAL,1369.5,cus_1500219345,div_2006915470,man_1993412060
DO10,2500151,2025-03-01,GULF ERECTION CO.L.L.C,AR-G0033,HO,SUNDARAN,2025-03-01,SUNDARAN ,1563.5,cus_1500219345,div_2006915470,man_0622657813
DO20,2500439,2025-03-02,PILLAR MAINTANCENCE & DECCOR,AR-P0007,MCJ,SAFEER M,2025-03-02,SAFEER M,726.0,cus_1876048136,div_0556003793,man_1859775013
DO10,2500152,2025-03-02,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-04,FAISAL,45.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500153,2025-03-02,HEIRS OF SAEED ABDULLA NASER ALJNEIBI,AR-S0007,HO,FAISAL,2025-03-04,FAISAL,190.0,cus_0406287333,div_2006915470,man_1993412060
DO10,2500154,2025-03-02,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-04,FAISAL,407.0,cus_0645899566,div_2006915470,man_1993412060
DO10,2500168,2025-03-02,AYESHA SALEH ALI ALJNEIBI,AR-A0420,HO,FAISAL,2025-03-12,FAISAL,174.0,cus_0666524102,div_2006915470,man_1993412060
DO20,2500441,2025-03-03,PILLAR MAINTANCENCE & DECCOR,AR-P0007,MCJ,RINSHAD TK,2025-03-03,RINSHAD T K,766.0,cus_1876048136,div_0556003793,man_2128340233
DO30,2500491,2025-03-03,AL AMEEN BUILDING MATERIAL TRADING,AR-A0393,Sharjah,ZAINUDHEEN,2025-03-03,RINSHAD M U,1927.0,cus_1689384886,div_1742449716,man_0298694519
ODO10,2500142,2025-03-04,TRANS EMIRATES ELECTRICAL & MECHANICAL WORKS LLC,AR-T0043,HO,SHAMEEM,2025-03-04,SHIMIL ,225.0,cus_0935988517,div_2006915470,man_1055588320
DO20,2500447,2025-03-04,AL ZAKI ENGINEERING & CONTRACTING COMPANY - W L L,AR-A0207,MCJ,RINSHAD TK,2025-03-04,RINSHAD T K,550.0,cus_1624829336,div_0556003793,man_2128340233
DO10,2500159,2025-03-05,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,FAISAL,2025-03-11,FAISAL,290.0,cus_0645899566,div_2006915470,man_1993412060
DO20,2500448,2025-03-05,AL ZAKI ENGINEERING & CONTRACTING COMPANY - W L L,AR-A0207,MCJ,RINSHAD TK,2025-03-05,RINSHAD T K,650.0,cus_1624829336,div_0556003793,man_2128340233
DO20,2500449,2025-03-05,QALAT AL KHALEEJ GENERAL CON AND MAINTENANCE,AR-Q0001,MCJ,RINSHAD TK,2025-03-05,RINSHAD T K,4830.0,cus_0171186648,div_0556003793,man_2128340233
DO20,2500450,2025-03-05,RAFHA TR. L.L.C,AR-R0005,MCJ,RINSHAD TK,2025-03-05,RINSHAD T K,420.0,cus_1462243956,div_0556003793,man_2128340233
