DocType,DocNo,Docdate,Party Code,original_party_name,Location,Stock Code,Stock Description,Unit,Quantity,Rate,Gross Amount,Discount,Net Amount,Supplier Category,Product Division,Category,Sub Category,Brand,Nature of Sales,COO,Group,Created by,Created TS,Posted by,Posted TS,Currency,Currency Rate,Fcy Gross Amount,Fcy Discount,Fcy Net Amount,Party Name
LPI10,2803.0,2024-03-05,AP-A0450,Atlas Plastic Factory L.L.C,Branch 2,16628,160MM PVC PIPE CLASS 16 ATLAS-6MTR,NOS,25.0,209.0,5225.0,0.0,5225.0,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-03-30,SHAJAHAN.KA,2024-03-30,AED,1.0,5225.0,0.0,5225.0,party_1032261125
LPI10,2803.0,2024-03-05,AP-A0450,Atlas Plastic Factory L.L.C,M9 STORE,16601,"3"" PVC PIPE CLASS E ATLAS-6MTR",NOS,10.0,72.0,720.0,0.0,720.0,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-03-30,SHAJAHAN.KA,2024-03-30,AED,1.0,720.0,0.0,720.0,party_1032261125
LPI10,2889.0,2024-03-05,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,31751,LDPE DRIPLINE 16mmX500m BLACK,ROLL,3.0,205.35,616.05,0.0,616.05,LOCAL,,LDPE PIPE & FITTINGS,POLYTHENE PIPE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-04-02,SHAJAHAN.KA,2024-04-02,AED,1.0,616.05,0.0,616.05,party_0779115970
LPI10,2889.0,2024-03-05,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,28743,UPVC PIPE 160MMX6M BSEN1452 PN16 SS GREY,LTH,25.0,221.05,5526.25,0.0,5526.25,LOCAL,,PVC PIPE & FITTINGS,PVC PIPE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-04-02,SHAJAHAN.KA,2024-04-02,AED,1.0,5526.25,0.0,5526.25,party_0779115970
ICPI10,1192.0,2024-09-11,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,37357,"10"" WATER FILTER CATRIDGE GROOVE SPUN OCEANIC OCE-SGP005-10 Made in Taiwan",NOS,250.0,1.0,250.0,0.0,250.0,,,PLUMBING SOLUTIONS,WATER FILTER,brand_0839938534,,,No Warranty,ANISH,2024-09-11,ANISH,2024-09-11,AED,1.0,250.0,0.0,250.0,party_0361422916
LPI10,2945.0,2024-03-06,AP-A0450,Atlas Plastic Factory L.L.C,Musaffah Shop,28446,"4"" UPVC DR PIPE ATLAS 6MTR BSEN 1329 ",NOS,20.0,45.0,900.0,0.0,900.0,LOCAL,,PVC PIPE & FITTINGS,UPVC DR PIPE,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-04-02,SHAJAHAN.KA,2024-04-02,AED,1.0,900.0,0.0,900.0,party_1032261125
LPI10,3313.0,2024-04-23,AP-C0055,Cosmoplast Industrial Co.L.L.C,Sajjah Store (MUS),34077,"mUPVC PIPE, BS5255, 4M, SS, GREY 36X1.8mm",LTH,3.0,6.51,19.53,0.0,19.53,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC PIPE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-04-23,SHAJAHAN.KA,2024-04-23,AED,1.0,19.53,0.0,19.53,party_0779115970
LPI10,3313.0,2024-04-23,AP-C0055,Cosmoplast Industrial Co.L.L.C,Sajjah Store (MUS),33018,"mUPVC PIPE, BS5255, 4M, SS, GREY 43X1.9mm",LTH,1.0,8.13,8.13,0.0,8.13,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC PIPE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-04-23,SHAJAHAN.KA,2024-04-23,AED,1.0,8.13,0.0,8.13,party_0779115970
ICPI10,1201.0,2024-10-09,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18483,SHOWER TRAY OCEANIC 80X80X14CM WA6005,NOS,10.0,90.0,900.0,0.0,900.0,,,PLUMBING SOLUTIONS,SHOWER TRAY,brand_0839938534,,,No Warranty,ANISH,2024-10-09,ANISH,2024-10-09,AED,1.0,900.0,0.0,900.0,party_0361422916
ICPI10,1201.0,2024-10-09,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,37478,"DR100S: VESPA SUBMERSIBLE SEWAGE & DRAINAGE  PUMP 1.0 HP SS & CAST IRON BODY 2""",NOS,8.0,800.0,6400.0,0.0,6400.0,,,PUMP & ACCESSORIES,VESPA SUBMERSIBLE WATER PUMP,brand_1237856496,,,No Warranty,ANISH,2024-10-09,ANISH,2024-10-09,AED,1.0,6400.0,0.0,6400.0,party_0361422916
LPI10,3687.0,2024-04-01,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,31794,HDPE SWEPT TEE BLACK 40MM,NOS,100.0,3.04,304.0,0.0,304.0,LOCAL,,HDPE PIPE & FITTINGS,HDPE DRAINAGE TEE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-05-20,SHAJAHAN.KA,2024-05-20,AED,1.0,304.0,0.0,304.0,party_0779115970
LPI10,3348.0,2024-04-23,AP-A0299,Al Sanaa Hardware Trading Co.L.L.C,M9 STORE,16715,110MM PVC DRAINAGE Y BRANCH ATLAS,NOS,24.0,10.66,255.84,0.0,255.84,LOCAL,,PVC PIPE & FITTINGS,PVC DRAINAGE Y BRANCH,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-04-23,SHAJAHAN.KA,2024-04-23,AED,1.0,255.84,0.0,255.84,party_0527390360
LPI10,3348.0,2024-04-23,AP-A0299,Al Sanaa Hardware Trading Co.L.L.C,M9 STORE,28522,110MM UPVC DRAINAGE VENT COWL ATLAS,NOS,180.0,2.05,369.0,0.0,369.0,LOCAL,,PVC PIPE & FITTINGS,UPVC DR VENT COWL,brand_0223424371,,,No Warranty,SHAJAHAN.KA,2024-04-23,SHAJAHAN.KA,2024-04-23,AED,1.0,369.0,0.0,369.0,party_0527390360
LPI10,3687.0,2024-04-01,AP-C0055,Cosmoplast Industrial Co.L.L.C,Branch 2,32400,HDPE 90° ACCESS PIPE BLACK 50MM,NOS,100.0,14.25,1425.0,0.0,1425.0,LOCAL,,HDPE PIPE & FITTINGS,HDPE DRAINAGE ACCES PLUG,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-05-20,SHAJAHAN.KA,2024-05-20,AED,1.0,1425.0,0.0,1425.0,party_0779115970
LPI10,3688.0,2024-04-01,AP-C0055,Cosmoplast Industrial Co.L.L.C,M9 STORE,13971,PPR SOCKET 50MM,NOS,160.0,1.95,312.0,0.0,312.0,LOCAL,,PPR PIPE & FITTINGS,PPR SOCKET,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-05-20,SHAJAHAN.KA,2024-05-20,AED,1.0,312.0,0.0,312.0,party_0779115970
LPI10,3688.0,2024-04-01,AP-C0055,Cosmoplast Industrial Co.L.L.C,M9 STORE,14166,"PPR FEMALE UNION, BRASS 11/2"" X 50MM",NOS,20.0,33.88,677.6,0.0,677.6,LOCAL,,PPR PIPE & FITTINGS,PPR FEMALE UNION,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-05-20,SHAJAHAN.KA,2024-05-20,AED,1.0,677.6,0.0,677.6,party_0779115970
LPI10,3690.0,2024-04-30,AP-C0055,Cosmoplast Industrial Co.L.L.C,Sajjah Store (MUS),15525,"REDUCER BUSH, SS, GREY 43 X 36mm",NOS,3.0,0.49,1.47,0.0,1.47,LOCAL,,UPVC DRAINAGE PIPE & FITTINGS,UPVC REDUCER BUSH,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-05-20,SHAJAHAN.KA,2024-05-20,AED,1.0,1.47,0.0,1.47,party_0779115970
ICPI10,1215.0,2024-11-11,APIC-R0003,RAJAB TR.CO.LLC ( SHJ.BRANCH ),Musaffah Shop,18427,EUROPEAN WC OCEANIC S-TRAP 67X39X73CM ZT-443-S,NOS,5.0,195.0,975.0,0.0,975.0,,,PLUMBING SOLUTIONS,EUROPEAN WC,brand_0839938534,,,No Warranty,ANISH,2024-11-11,ANISH,2024-11-11,AED,1.0,975.0,0.0,975.0,party_0361422916
LPI10,3731.0,2024-05-14,AP-C0055,Cosmoplast Industrial Co.L.L.C,M9 STORE,14132,"PPR FEMALE TEE 32 X 1/2""",NOS,180.0,2.97,534.6,0.0,534.6,LOCAL,,PPR PIPE & FITTINGS,PPR FEMALE TEE,brand_0850260632,,,No Warranty,SHAJAHAN.KA,2024-05-22,SHAJAHAN.KA,2024-05-22,AED,1.0,534.6,0.0,534.6,party_0779115970
