doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI20,1288,2024-01-03,ARC-M1642,MOHMMED RAFIQ SMART TECHNOLOGIES,,Multicolor,SHAFI,380.0,0.0,380.0,19.0,2024-01-03,SAFEER M,CASH,,MCJ,div_0556003793,man_1461566380,party_0681866161
CSI20,1289,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,NISHAD T,411.0,0.0,411.0,20.55,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1830493139,party_0984764295
CSI20,1290,2024-01-03,ARC-A1550,ASYMPTOTE GENERAL CONTRACTING L.L.C.,,Multicolor,JAFEER ,352.0,0.0,352.0,17.6,2024-01-03,SAFEER M,CASH,,MCJ,div_0556003793,man_1683097300,party_1640894773
CSI20,1296,2024-01-03,ARC-A1350,AQUARIUM SEA FOOD RESTAURANT,,Multicolor,JAFEER ,325.0,0.0,325.0,16.25,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1683097300,party_1989812446
CSI20,1295,2024-01-03,ARC-A1466,ASQALAN CONSTRUCTION AND DEVELOPMENT LLC,,Multicolor,SAFEER M,2310.0,0.0,2310.0,115.5,2024-01-03,SAFEER M,CASH,,MCJ,div_0556003793,man_1859775013,party_0026782061
CSI20,1291,2024-01-03,ARC-W1590,WAFT TECHNICAL SUPPLIES LLC,,Multicolor,RISHAD C,914.0,0.0,914.0,45.7,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_1662158445
CSI20,1292,2024-01-03,ARC-Q0026,QUICK SERVICE ALUMINIUM & GLASS WORKS LLC OPC,,Multicolor,NISHAD T,530.0,0.0,530.0,26.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1830493139,party_1960371700
CSI20,1293,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,SHAHID ,152.0,0.0,152.0,7.6,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1995826233,party_0984764295
CSI10,1125,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,SUNDARAN ,48.0,0.0,48.0,2.4,2024-01-03,AKTAR,CASH,,HO,div_2006915470,man_0622657813,party_0832930093
CSI10,1126,2024-01-03,ARC-B0256,BUILDING ACTION CONTRACTING & GENERAL MAINTENANCE,,Musaffah Shop,FAISAL,805.0,0.0,805.0,40.25,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_1993412060,party_0255849244
CSI10,1127,2024-01-03,ARC-A0432,AL ETIBAR ELECTROMECHANICAL CONTRACTING L.L.C.,,Musaffah Shop,SUNDARAN ,159.0,0.0,159.0,7.95,2024-01-03,AKTAR,CASH,,HO,div_2006915470,man_0622657813,party_0572751279
CSI20,1300,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,SANOOP,200.0,0.0,200.0,10.0,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_0264100041,party_0984764295
